username,grade,review,w_name,bottler,age,w_type,vint,subtype,abv,region,price,avaib,url
Andy,b,n:  Vegetal.  Boggy.  Cut weeds. p:  Bit thin. Slow to express itself but when it does its a bit like an overly leafy salad with no dressing.  There's heat like from a red hot that lingers for a while but with only a small fraction of that flavor. Thin mouthfeel definitely a disappointment.B-  Separate tasting:  B+ ,Bunnahabhain 1973 Archives,Archives,40 yrs,Scotch,1973,Single Malt,50.6,Islay,270,Overseas Specialty,http://www.lawhiskeysociety.com/whiskey-profile/3362/Bunnahabhain-1973-Archives
Fuji,bminus, ,Bunnahabhain 1973 Archives,Archives,40 yrs,Scotch,1973,Single Malt,50.6,Islay,270,Overseas Specialty,http://www.lawhiskeysociety.com/whiskey-profile/3362/Bunnahabhain-1973-Archives
Andy,b,n: Herb garden and lemon peels p:  Citrus zing with a sweet vegetal flavor.  Lemon and honeysuckle.  Doesn't go too far in the finish however. ,Bunnahabhain 1990 Nectar of the Daily Drams,Nectar,23 yrs,Scotch,1990,Single Malt,49.8,Islay,150,Overseas Specialty,http://www.lawhiskeysociety.com/whiskey-profile/3865/Bunnahabhain-1990-Nectar-of-the-Daily-Drams
Andy,cplus,n:  A bit sour.  Like a bad finish. p: Wood varnish and sugary oatmeal. Thin and watery. Hints toward plums but doesn't quite make it.  Finish goes nowhere. C/C+ ,Cadenhead Creations 20yr Batch 1,Cadenhead,20 yrs,Scotch,N/A,Blend,46,,99,Specialty Stores,http://www.lawhiskeysociety.com/whiskey-profile/3196/Cadenhead-Creations-20yr-Batch-1
Fuji,cplus,N: Melted sugar warm wax pencil shavings and white pepper.P: Light and refreshing fruits on the palate.   Touch of honeycomb.F: Medium finish ,Cadenhead Creations 20yr Batch 1,Cadenhead,20 yrs,Scotch,N/A,Blend,46,,99,Specialty Stores,http://www.lawhiskeysociety.com/whiskey-profile/3196/Cadenhead-Creations-20yr-Batch-1
Andy,d,n:  Whoa.  Moonshine and bleach. p:  Sour then hot.  Nothing good in between. ,California Moonshine,Fog's End Distillery,N/A,American,N/A,Corn,50,California,25,Specialty Stores,http://www.lawhiskeysociety.com/whiskey-profile/3267/California-Moonshine
Andy,bplus,n:  Tin pail with a hint of tar residue p: Sweet and oily.  Salted and musty.  Doesn't seem too overly peated but there are some classic Caol Ila notes here that are at their best here.  Long chewy finish. B+/A- ,Caol Ila 1983 Frisky Whisky,Frisky Whisky,27 yrs,Scotch,1983,Single Malt,52,Islay,150,Overseas Specialty,http://www.lawhiskeysociety.com/whiskey-profile/3680/Caol-Ila-1983-Frisky-Whisky
Andy,b,n:  Wood finish and a leather saddle p:   Sweetened ash.  Soft but solidly flavorful.  A gentleman's peat dram.  An easy sipper that may not impress but goes down with ease. B/B+ ,Caol Ila 1983 Signatory (for K&L),Signatory,30 yrs,Scotch,1983,Single Malt,50.5,Islay,300,Specialty Stores,http://www.lawhiskeysociety.com/whiskey-profile/3555/Caol-Ila-1983-Signatory-(for-K-and-L)
Sku,b,Nose is lightly peated malt with fruit in the back.  Palate has great balance of sweet fruit notes and peat.  Balance lasts into the finish.  Nice malt well balanced great classic peaty character. B/B+ ,Caol Ila 1983 Signatory (for K&L),Signatory,30 yrs,Scotch,1983,Single Malt,50.5,Islay,300,Specialty Stores,http://www.lawhiskeysociety.com/whiskey-profile/3555/Caol-Ila-1983-Signatory-(for-K-and-L)
Andy,b,n:  Wood finish on a burnt log. p:  pool water and charcoal. Sharp and crisp. Hint of red hots. Goes moldy oranges toward the finish.   ,Caol Ila 1983 Signatory CS Cask #5286,Signatory,30 yrs,Scotch,1983,Single Malt,53.8,Islay,450,Specialty Stores,http://www.lawhiskeysociety.com/whiskey-profile/3481/Caol-Ila-1983-Signatory-CS-Cask-number5286
Andy,aminus,n:  Fantastic.  Mint new bicycle tube and cedar.   p:  Spearmint redhots then fresh cut firewood.  White pepper plays around from start to finish. A-/A ,Caol Ila 1984 Cadenhead's,Cadenhead's,31 yrs,Scotch,1984,Single Malt,54.3,Islay,200,Overseas Specialty,http://www.lawhiskeysociety.com/whiskey-profile/3782/Caol-Ila-1984-Cadenheads
Fuji,b,N: Sharp ferric iron notes mixed with peach juice and lush peat. Grilled fish with lemon and butter. P: Gentle peat smoke followed by sweet corn and soft yellow peaches. Ash emerges mid-palate. F: Dilute sweet tea. It doesn't stick around long.,Caol Ila 1984 Cadenhead's,Cadenhead's,31 yrs,Scotch,1984,Single Malt,54.3,Islay,200,Overseas Specialty,http://www.lawhiskeysociety.com/whiskey-profile/3782/Caol-Ila-1984-Cadenheads
Andy,bminus,n:  Cherry cocktail in a metal pipe p:  Salt soil and bad wine.  Dark fruit finish. ,Caol Ila 1990 Murray McDavid Mission,Murray McDavid,21 yrs,Scotch,1990,Single Malt,49.9,Islay,115,Specialty Stores,http://www.lawhiskeysociety.com/whiskey-profile/3184/Caol-Ila-1990-Murray-McDavid-Mission
Fuji,b,Big bbq and peat smoke.  Similar to the 17 year old but its lost a bit of its edge.  Still good though,Caol Ila 1990 Murray McDavid Mission,Murray McDavid,21 yrs,Scotch,1990,Single Malt,49.9,Islay,115,Specialty Stores,http://www.lawhiskeysociety.com/whiskey-profile/3184/Caol-Ila-1990-Murray-McDavid-Mission
Andy,b,n:  Vaporous.  May cause tears.  Old leather furniture.  Hint of red hots. p:  Still hot.  This one needs water.  With water:  Classic Caol Ila with a minty twist.  Charcol mojito. ,Caol Ila 1991 Single Malts of Scotland,Specialty Drinks Ltd.,15 yrs,Scotch,N/A,Single Malt,58.8,Islay,80,Collectors Only,http://www.lawhiskeysociety.com/whiskey-profile/3654/Caol-Ila-1991-Single-Malts-of-Scotland
Andy,b,Unsweetened butterscotch with a peppery finish. B/B+ ,Caol Ila 1995 Old Masters,James MacArthur's,14 yrs,Scotch,1995,Single Malt,58.4,Islay,100,Specialty Stores,http://www.lawhiskeysociety.com/whiskey-profile/3392/Caol-Ila-1995-Old-Masters
Andy,b,n: light asphalt and charcoal.  Classic Caol Ila p:   Asphalt and dark fruit. Gunpowder.  All in all a solid dram that is enjoyable if not exceptional. B/B+ ,Caol Ila 1996 Montgomerie's Rare Select,Montgomerie and Co.,20 yrs,Scotch,1996,Single Malt,46,Islay,125,Specialty Stores,http://www.lawhiskeysociety.com/whiskey-profile/3923/Caol-Ila-1996-Montgomeries-Rare-Select
Andy,b,n: pencil eraser and mint p: Bitter charcoal and faint wintergreen.  ,Caol Ila 2006 Carn Mor,Morrison & Mackay Whisky Merchants,8 yrs,Scotch,2006,Single Malt,46,Islay,50,Overseas Specialty,http://www.lawhiskeysociety.com/whiskey-profile/3925/Caol-Ila-2006-Carn-Mor
Sku,bminus,The nose not surprisingly is young peated malt.  The palate is very sweet with lots of peat.  There's a slight bitterness late in the palate and into the finish which counteracts the sweetness and it finishes with lots of nice peat on the nose.  It's five year old Caol Ila and that's exactly what it tastes like. B/B- ,Caol Ila 2008 Hepburn's Choice,Hunter Laing,5 yrs,Scotch,2008,Single Malt,61.1,Islay,50,Specialty Stores,http://www.lawhiskeysociety.com/whiskey-profile/3396/Caol-Ila-2008-Hepburns-Choice
Andy,bplus,n:  Red hots and young sweet whisky p:  Sweet and salty.  Werthers original.  Reminds me of the original Elements of Islay Caols.  Almost exactly like a seasalt macaroon.  Happiness! ,Caol Ila 2008 Hepburn's Choice,Hunter Laing,5 yrs,Scotch,2008,Single Malt,61.1,Islay,50,Specialty Stores,http://www.lawhiskeysociety.com/whiskey-profile/3396/Caol-Ila-2008-Hepburns-Choice
Dan,bminus,Very very faint color. Nice smoke one dimensional what you would expect for a 5yr Caol Ila honestly. On the tongue actually a little more oak than I was expecting but at the end of the day the peat shines through. [3/4/15],Caol Ila 2008 Hepburn's Choice,Hunter Laing,5 yrs,Scotch,2008,Single Malt,61.1,Islay,50,Specialty Stores,http://www.lawhiskeysociety.com/whiskey-profile/3396/Caol-Ila-2008-Hepburns-Choice
Ries,bminus,n: sweet paper smoke and dried lemon peel. Scorched lemon custard wet grass and red cinnamon candy. t: initial is sharp cinnamon candy sweetness that turns vegetal in the middle. Heavy white pepper and wood char. Burnt coconut flakes in damp earth finish. Interesting but just too raw.  [B-.],Caol Ila 2008 Hepburn's Choice,Hunter Laing,5 yrs,Scotch,2008,Single Malt,61.1,Islay,50,Specialty Stores,http://www.lawhiskeysociety.com/whiskey-profile/3396/Caol-Ila-2008-Hepburns-Choice
Sku,bminus,Nose: Perfume floral notesPalate: A touch of the earthy notes present in 4A but very diluted tasting though they grow as it goes onFinish: Earthy ,Cardhu 12 ,OB,12 yrs,Scotch,N/A,Single Malt,40,Highlands,50,Better Stores,http://www.lawhiskeysociety.com/whiskey-profile/3524/Cardhu-12-
Fuji,cminus,Sweet waxy and bitter.  Tastes watered-down.  ,Cardhu 12 ,OB,12 yrs,Scotch,N/A,Single Malt,40,Highlands,50,Better Stores,http://www.lawhiskeysociety.com/whiskey-profile/3524/Cardhu-12-
Andy,c,n: Citrus peels and plums p:  Thin and dull.  Too bitter.  Faint toffee.  zzzzzzz ,Cardhu 12 ,OB,12 yrs,Scotch,N/A,Single Malt,40,Highlands,50,Better Stores,http://www.lawhiskeysociety.com/whiskey-profile/3524/Cardhu-12-
Ries,cminus,n: caramel mostly wood paneling I dunno... t: white sugar/simple syrup sweet with a green grass middle. Some green apple but mostly non-descript and thin.,Cardhu 12 ,OB,12 yrs,Scotch,N/A,Single Malt,40,Highlands,50,Better Stores,http://www.lawhiskeysociety.com/whiskey-profile/3524/Cardhu-12-
Andy,bplus,n: Honey lemon evergreen p: Hot get water.  Lemon lime spicy tortilla chips.  Antique furniture laed with sugar and chiles.B/B+ ,Chichibu Chibidaru for La Maison du Whisky,OB,N/A,Japanese,2009,Single Malt,61.9,Japan,180,Overseas Specialty,http://www.lawhiskeysociety.com/whiskey-profile/3252/Chichibu-Chibidaru-for-La-Maison-du-Whisky
Fuji,c,Vaporous alcohol. The nose is astringent and hard to get across. Some sweetness and nuttiness can be found. Better on the palate but runs hot. ,Chichibu Chibidaru for La Maison du Whisky,OB,N/A,Japanese,2009,Single Malt,61.9,Japan,180,Overseas Specialty,http://www.lawhiskeysociety.com/whiskey-profile/3252/Chichibu-Chibidaru-for-La-Maison-du-Whisky
Ries,b,Sweet clover and honey. Young and sweet. Green and grassy with butter cookies with heavy spice (like cinnamon thumbprint cookies). Very sweet dense and rich - needs some more time to develop some complexity and even out. Limeade kool-aid powder. Runs hot. ,Chichibu Chibidaru for La Maison du Whisky,OB,N/A,Japanese,2009,Single Malt,61.9,Japan,180,Overseas Specialty,http://www.lawhiskeysociety.com/whiskey-profile/3252/Chichibu-Chibidaru-for-La-Maison-du-Whisky
Andy,bplus,n:  Faint bubblegum p:  Hot water helps.  Lavendar bazooka gum with a maltiness in the background.  Chewy finish that sticks around in a good way.,Chichibu The First 2008 (non-USA),OB,N/A,Japanese,2008,Single Malt,61.8,Japan,150,Overseas Specialty,http://www.lawhiskeysociety.com/whiskey-profile/3188/Chichibu-The-First-2008-(non-USA)
Fuji,cplus,N: Alcohol vapor green apple honey combP: Sour green fruit pickle black pepper ,Chichibu The First 2008 (non-USA),OB,N/A,Japanese,2008,Single Malt,61.8,Japan,150,Overseas Specialty,http://www.lawhiskeysociety.com/whiskey-profile/3188/Chichibu-The-First-2008-(non-USA)
Ries,cplus,Sweet n Low. Quite sweet and floral nectar.  Very sweet in fact all honey. Just the one note of overt sweetness.  [C+/B-],Chichibu The First 2008 (non-USA),OB,N/A,Japanese,2008,Single Malt,61.8,Japan,150,Overseas Specialty,http://www.lawhiskeysociety.com/whiskey-profile/3188/Chichibu-The-First-2008-(non-USA)
Andy,b,n:  Rice krispies treatsp:  A little hot water helps.  Cheerios and sugar.  Wonderbread.Finish goes a little sour,Chichibu The First Aged 3 years (US), ,3 yrs,Japanese,N/A,Single Malt,59,Japan,200,Specialty Stores,http://www.lawhiskeysociety.com/whiskey-profile/3187/Chichibu-The-First-Aged-3-years-(US)
Fuji,cplus,N: Paraffin wax honey peanutP: Bright and fruity with alot of salt and malt. ,Chichibu The First Aged 3 years (US), ,3 yrs,Japanese,N/A,Single Malt,59,Japan,200,Specialty Stores,http://www.lawhiskeysociety.com/whiskey-profile/3187/Chichibu-The-First-Aged-3-years-(US)
Ries,bminus,Honey and caramel candy. Light waxy lemon peel. Rich and creamy but runs hot. Lacking some depth. This is honey dipped graham crackers with a deep malt backbone.  ,Chichibu The First Aged 3 years (US), ,3 yrs,Japanese,N/A,Single Malt,59,Japan,200,Specialty Stores,http://www.lawhiskeysociety.com/whiskey-profile/3187/Chichibu-The-First-Aged-3-years-(US)
Andy,b,n:  cinnamon bun (light on cinnamon)  p:   Hot and spicy!  Needs H20.  Shoe leather and nutmeg.  Generically spicy leaning toward Christmas.  Fun. ,Clynelish 1995 Signatory CS for TWE,Signatory,17 yrs,Scotch,1995,Single Malt,52.6,Highland,110,Overseas Specialty,http://www.lawhiskeysociety.com/whiskey-profile/3639/Clynelish-1995-Signatory-CS-for-TWE
Fuji,c,Balsamic vinegar roasted corn mineral and wet drift wood. Packs a punch so don't inhale too much. Preserved mango pineapple. Crisp citrus tartness mid palate. Fairly astringent. Neutral spirit finish. ,Clynelish 1995 Signatory CS for TWE,Signatory,17 yrs,Scotch,1995,Single Malt,52.6,Highland,110,Overseas Specialty,http://www.lawhiskeysociety.com/whiskey-profile/3639/Clynelish-1995-Signatory-CS-for-TWE
Andy,b,n:  A bit too much alcohol p:  Salt and pepper.  Velvety.  Hints of cardamom.  Luscious finish. Palate far better than nose.,Clynelish 2008 Signatory Vintage for Binny's,Signatory,7 yrs,Scotch,2008,Single Malt,63.8,Highland,50,Specialty Stores,http://www.lawhiskeysociety.com/whiskey-profile/3918/Clynelish-2008-Signatory-Vintage-for-Binnys
Andy,b,n:  Nice.  Suedesugar and fresh cut evergreen. p:  Oats leather wood finish.  Pretty much what you expect from a decent bourbon.  Mouthfeel is a tad thin.  Anise teases around a bit but gives way to a fast finish.  It's a nice easy sipper.,Colorado Straight Bourbon Batch 50,OB,2 yrs,American,N/A,Bourbon,46,Colorado,70,Specialty Stores,http://www.lawhiskeysociety.com/whiskey-profile/3804/Colorado-Straight-Bourbon-Batch-50
Andy,b,n:  Typically Caol Ila muted charcoal.  Orange peel and cherries p:  White pepper and moldy fruit (better than it sounds).   Semisweet with a very even flavor from start to finish not unlike Japanese whisky. This is well put together and is easily sipped even at full strength although it isn't going to excite or suprise anyone. B/B+ ,Compass Box 5th and Harrison,Compass Box,N/A,Scotch,N/A,Vatted Malt,55.3,,180,Specialty Stores,http://www.lawhiskeysociety.com/whiskey-profile/3847/Compass-Box-5th-and-Harrison
Ries,bminus,n: dried papaya white pepper dry oak with a hint of paper smoke. t: creme brulee or burnt vanilla custard white bread dough honey hardcandy with a cohesive blanket of soft smoke. Malty middle with oak and hint of olive oil. Dense mouthfeel with caramel and a slight metallic note in the smoked finish.,Compass Box The Lost Blend, ,N/A,Scotch,N/A,Blend,46,,120,Better Stores,http://www.lawhiskeysociety.com/whiskey-profile/3512/Compass-Box-The-Lost-Blend
Andy,b,n:  Tropical fruits and peaches p:  Sweet but not overly so.  A hint of alcohol and flowers that sticks around for a while.  Nice silky mouthfeel is the winner for this whisky. ,Compass Box The Lost Blend, ,N/A,Scotch,N/A,Blend,46,,120,Better Stores,http://www.lawhiskeysociety.com/whiskey-profile/3512/Compass-Box-The-Lost-Blend
Andy,b,n:  Vanilla and laundry detergent p:   Bog and cashews.  Oily.  Fun but it is almost unseemly.  Almost naughty.  I'm blushing,Connemara 22yr,OB,22 yrs,Irish,N/A,Single Malt,46,,165,Overseas Specialty,http://www.lawhiskeysociety.com/whiskey-profile/3866/Connemara-22yr
Fuji,bminus,Smells of moss and damp decaying wood.  Dark bitter peat notes on palate.,Connemara 22yr,OB,22 yrs,Irish,N/A,Single Malt,46,,165,Overseas Specialty,http://www.lawhiskeysociety.com/whiskey-profile/3866/Connemara-22yr
Ries,bminus,n: moist wheat bread damp wood some orange citrus. The buckwheat is main element - smells like wheat in a very damp field. t: soft and nicely semi-sweet initially but the middle is where the buckwheat asserts itself; it has a day old coffee taste to it. Kinda sweet + bitter + sour all at the same time with some vanilla creamer. Campfire burnt marshmallow and dark chocolate covered coffee bean finish. Interesting I like the experimental aspect to this.  [B-.],"Corsair ""Buck Yeah"" American Whiskey",Corsair,N/A,American,N/A,Other,46,,65,Wide,http://www.lawhiskeysociety.com/whiskey-profile/3454/Corsair-Buck-Yeah-American-Whiskey
Andy,bminus,n: Four grain bread dough.  Bit of honey. p:  Sourdough bread.  Raw grains and lemon.  Very sweet in the finish.  Kero syrup-y.  Wierd but not offensive.  Just different.  Who shot Buckwheat?  Guess that's me.    ,"Corsair ""Buck Yeah"" American Whiskey",Corsair,N/A,American,N/A,Other,46,,65,Wide,http://www.lawhiskeysociety.com/whiskey-profile/3454/Corsair-Buck-Yeah-American-Whiskey
Andy,b,n:  Fortune Teller perfume p:  Sweet odd and perfumey ,Corsair Citra Double IPA,OB,N/A,American,N/A,Single Malt,43,Tennessee,65,Specialty Stores,http://www.lawhiskeysociety.com/whiskey-profile/3740/Corsair-Citra-Double-IPA
Ries,bplus,n: this smells like a beer concentrate! Imagine Bear Republic Racer 5 in a syrup form on the nose. Floral and ripe mango in a pine forest. t: follows the nose and tastes dense and bold. Finish has black tea and creamed corn sweetness. If you like bold IPA's buy this; it's so weird and fun! ,Corsair Mosaic,Corsair,N/A,American,N/A,Other,46,,55,Wide,http://www.lawhiskeysociety.com/whiskey-profile/3457/Corsair-Mosaic
Andy,b,n:  Bold.  Beach ball freshly opened from its package.  Little bit of sulpher funk. p:  Hops definitely there.  Laundry detergent without being soapy lemon.  Finish doesn't transform but is chewy. ,Corsair Mosaic,Corsair,N/A,American,N/A,Other,46,,55,Wide,http://www.lawhiskeysociety.com/whiskey-profile/3457/Corsair-Mosaic
Andy,c,n:  Wheat bread in a rubber plant.  Wax for braces (remember those?) p: Raw grains agave syrup and chlorine that quickly transitions to a finish in bitter chocolate (cacao).  Wierd stuff.   I appreciate the experimentation and chance to try something new but I doubt this is the new flavor folks are looking for. ,Corsair Oatrage Oat Whiskey,Corsair ,N/A,American,N/A,Other,50,,55,Wide,http://www.lawhiskeysociety.com/whiskey-profile/3456/Corsair-Oatrage-Oat-Whiskey
Ries,cplus,n: sweet and milky (vanilla coffee creamer) old-fashioned oatmeal and moonshine. Surfboard wax. t: thai iced tea with too much creamer added middle is still young (hot) and simple syrup sweet. Finish goes back to the vanilla creamer. Oaty and very sweet; this would be better used as the backbone in a unique cocktail but kinda expensive for that. ,Corsair Oatrage Oat Whiskey,Corsair ,N/A,American,N/A,Other,50,,55,Wide,http://www.lawhiskeysociety.com/whiskey-profile/3456/Corsair-Oatrage-Oat-Whiskey
Ries,b,n: buttery rye toast nice and creamy and dense with an inviting spice. Bread & butter pickles (not dill) and roasted ballpark peanuts. t: follows nose with a lot of creamy rye spice oaky dark vanilla and a bit of red berry fruit roll-ups. This is a nice sipping rye. [solid B.],Corsair Ryemageddon American Rye Whiskey,Corsair ,N/A,American,N/A,Rye,46,,50,Wide,http://www.lawhiskeysociety.com/whiskey-profile/3455/Corsair-Ryemageddon-American-Rye-Whiskey
Andy,b,n:  Toast and a bit of nutella p:  Toned down fruitcake.  A unique and easy sipper,Corsair Ryemageddon American Rye Whiskey,Corsair ,N/A,American,N/A,Rye,46,,50,Wide,http://www.lawhiskeysociety.com/whiskey-profile/3455/Corsair-Ryemageddon-American-Rye-Whiskey
Sku,bplus,The nose on this is pure port with some brown sugar.  The palate is similarly big on wine with fruity port or sherry.  Digging deep there is a caramel bourbon note underneath but I can't say I would pick it out if I didn't know this was actually a bourbon.  The port notes increase as it trails off into the finish where it's joined by some oak. It's not often that I taste something that's totally unique.  Tasting blind there is no way I would guess this was bourbon. If I had to compare it to anything I would say it tastes most similar to the Navazos Palazzi sherried brandy than anything else I've tasted. Usually when I taste finished bourbons I'm left with the feeling that the finishing was just a method to add some sweetness to an inferior product.  This one is more akin to a sherried Scotch where the wine notes become an integral part of the whiskey. ,Corti Brothers Exquisite Whiskey,Amador Distillery,7 yrs,American,2006,Bourbon,42.25,Kentucky,50,Specialty Stores,http://www.lawhiskeysociety.com/whiskey-profile/3194/Corti-Brothers-Exquisite-Whiskey
Fuji,dplus,Smells like a scotch and has a nice nose.  Lots of wine stuff but the finish is what kills it for me.  Tired sherry cask stuff that is musty and tastes of raw eggs.,Corti Brothers Exquisite Whiskey,Amador Distillery,7 yrs,American,2006,Bourbon,42.25,Kentucky,50,Specialty Stores,http://www.lawhiskeysociety.com/whiskey-profile/3194/Corti-Brothers-Exquisite-Whiskey
Adam,bminus,"Cloyingly sweet bourbon but not bourbony bourbon. I immediately pegged it as being finished in ""some weird cask"" because that's how it tastes. Others may well enjoy it quite a bit and I don't particularly dislike it... it's good enough stuff worth trying in my opinion but not really the sort of thing I personally enjoy.",Corti Brothers Exquisite Whiskey,Amador Distillery,7 yrs,American,2006,Bourbon,42.25,Kentucky,50,Specialty Stores,http://www.lawhiskeysociety.com/whiskey-profile/3194/Corti-Brothers-Exquisite-Whiskey
Andy,cminus,n:  Bourbon and creme p:  Laundry water D+/C- ,Corti Brothers Exquisite Whiskey,Amador Distillery,7 yrs,American,2006,Bourbon,42.25,Kentucky,50,Specialty Stores,http://www.lawhiskeysociety.com/whiskey-profile/3194/Corti-Brothers-Exquisite-Whiskey
Andy,cminus,n:  Oy wood stripping chemicals. p:  Bitter and harsh.  orange peel cheerios and acetone. ,Cragganmore 1989 Faultline (for k&l),Faultline,23 yrs,Scotch,1989,Single Malt,54.6,Speyside,110,Specialty Stores,http://www.lawhiskeysociety.com/whiskey-profile/3290/Cragganmore-1989-Faultline-(for-k-and-l)
Andy,b,n: glazed hay or other dry herbiage p:  evergreen and light cinnamon.  Raw peanuts.   note: this is from a bottle that has been open for a year.  The freshly opened bottle was more bland. ,Craigellachie 13,OB,13 yrs,Scotch,N/A,Single Malt,46,Speyside,50,Better Stores,http://www.lawhiskeysociety.com/whiskey-profile/3908/Craigellachie-13
Ries,bminus,Golden raisin cinnamon toast light red berry jam. Soft golden honey with a nice floral edge and graham crackers.  [B-/B],Craigellachie 13,OB,13 yrs,Scotch,N/A,Single Malt,46,Speyside,50,Better Stores,http://www.lawhiskeysociety.com/whiskey-profile/3908/Craigellachie-13
Sku,b,The nose has sherry and a very light sulfur note along with some coastal breeze.  On the palate there is sweet sherry and a small dose of sulfur which grows into the finish; after a few seconds the finish turns metallic though not in a bad way and then a bit salty.  I like how this one transitions from quite sweet to more funky.   ,Craigellachie 1995 Hepburn's Choice,Hunter Laing,18 yrs,Scotch,1995,Single Malt,54.3,Speyside,100,Specialty Stores,http://www.lawhiskeysociety.com/whiskey-profile/3400/Craigellachie-1995-Hepburns-Choice
Andy,b,n:  Caramel p: Hot funk.  Red hot spiced dried apricots.  Lots of dried fruits really but leaning toward raisin and apricot.  Vibrant although the finish loses steam. B/B+ ,Craigellachie 1995 Hepburn's Choice,Hunter Laing,18 yrs,Scotch,1995,Single Malt,54.3,Speyside,100,Specialty Stores,http://www.lawhiskeysociety.com/whiskey-profile/3400/Craigellachie-1995-Hepburns-Choice
Dan,bminus,Amber. Base sherry on the nose. A little musty with dried raisins. Fairly standard sherry nose. Rough and astringent on the tongue. Dries out my mouth. Not nearly as much sherry as I was expecting. B-/B [3/3/15],Craigellachie 1995 Hepburn's Choice,Hunter Laing,18 yrs,Scotch,1995,Single Malt,54.3,Speyside,100,Specialty Stores,http://www.lawhiskeysociety.com/whiskey-profile/3400/Craigellachie-1995-Hepburns-Choice
Ries,cplus,n: weird nose old tin that held sardines then sea salt caramel. yellow sulfur ghosting in there. Old leather work gloves. t: musty oaky and chile spice dried mango. vegetal decay taste in the middle. finish is more towards sweetside with apricots. This is all over the place. [C+/B-] ,Craigellachie 1995 Hepburn's Choice,Hunter Laing,18 yrs,Scotch,1995,Single Malt,54.3,Speyside,100,Specialty Stores,http://www.lawhiskeysociety.com/whiskey-profile/3400/Craigellachie-1995-Hepburns-Choice
Ries,cplus,n: soft aromas of clean linens toasted rye bread with kosher dill pickles and tart apple. Faint burnt caramel caraway seeds and dried pineapple. t: tasty but very subtle in its flavours this comes together nicely without being too sweet or having the usual harsh CR alcohol notes. Green apple light brown sugar and butterscotch hard candy in the middle. The finish is pleasing with more of the rye bread dough and restaurant-style black pepper.,Crown Royal Northern Harvest Rye,Crown Royal,N/A,Canadian,N/A,Blend,45,Canada,32,Wide,http://www.lawhiskeysociety.com/whiskey-profile/3710/Crown-Royal-Northern-Harvest-Rye
Fuji,c,N: Juicy fruit gum perfume vanilla and donut glaze. P: I hate to say it but it's smooth. White pepper spice light citrus with honey sweetness.  Neutral finish.  The finish really disappoints and ruined it. ,Crown Royal Northern Harvest Rye,Crown Royal,N/A,Canadian,N/A,Blend,45,Canada,32,Wide,http://www.lawhiskeysociety.com/whiskey-profile/3710/Crown-Royal-Northern-Harvest-Rye
Andy,cplus,n:  Airport restroom automatically dispensed handsoap.  Bazooka gum. p:  More generic pink gum at first.  Then well it fades into oblivion with the faint flavor of raw grain doing a small wave goodbye. Pretty good for a blend in a plastic bottle (not offensive at all) but probably something I will forget in 5 minutes. ,Crown Royal Northern Harvest Rye,Crown Royal,N/A,Canadian,N/A,Blend,45,Canada,32,Wide,http://www.lawhiskeysociety.com/whiskey-profile/3710/Crown-Royal-Northern-Harvest-Rye
Ryan,cplus,N: Black Licorice Apple Cider. P: Caramel Cayenne pepper old carpet. F: Bitter dry some wood comes through it just fades in the wrong direction and the alcohol comes into play. I wish I could taste more Rye in this.. ,Crown Royal Northern Harvest Rye,Crown Royal,N/A,Canadian,N/A,Blend,45,Canada,32,Wide,http://www.lawhiskeysociety.com/whiskey-profile/3710/Crown-Royal-Northern-Harvest-Rye
Sku,cplus,This has a nice nose with spicy rye notes and a touch of mint. On the palate it's minty with bubblegum but then quite bitter. The finish is spicy with some medicinal notes. This one starts nicely but then turns bitter and flat.,Crown Royal Northern Harvest Rye,Crown Royal,N/A,Canadian,N/A,Blend,45,Canada,32,Wide,http://www.lawhiskeysociety.com/whiskey-profile/3710/Crown-Royal-Northern-Harvest-Rye
Ries,bplus,"n: heavily sherried (but typical Aberlour) nose with dark chocolate covered figs and cherries. This has a nice dark vanilla cream and cinamon roll dough. A bit of apple pie with a thick fresh crust. t: dark chocolate dusted over ripe berries dipped in caramel. The wood is very prominent here borderline ""too oaky"" which I enjoy - and nothing gets very sweet. In fact it's more rhubarb and dry cocoa than anything else. Oily body to this whisky and a nice warmth to it from the high ABV. The finish is dry wood waxy honey and black raisins.  [B+/B]",Darkness! Aberlour 20 Year Old Pedro Ximenez Cask Finish, ,20 yrs,Scotch,N/A,Single Malt,53.4,Speyside,92,Overseas Specialty,http://www.lawhiskeysociety.com/whiskey-profile/3366/Darkness!-Aberlour-20-Year-Old-Pedro-Ximenez-Cask-Finish
Andy,b,n:  Cherries and caramel p:  Rainforest cedar.  Salted caramel and dark fruits. B/B+ ,Darkness! Aberlour 20 Year Old Pedro Ximenez Cask Finish, ,20 yrs,Scotch,N/A,Single Malt,53.4,Speyside,92,Overseas Specialty,http://www.lawhiskeysociety.com/whiskey-profile/3366/Darkness!-Aberlour-20-Year-Old-Pedro-Ximenez-Cask-Finish
Andy,cminus,n:  Plastic.  Freshly unpackaged beach ball.  Prunes p:  Thin mouthfeel.  Brieflye sweet and unnatural.  A bit stale and metallic with a bitter dark fruit finish.  Very interesting at best. ,Drayman's Solera,OB,N/A,World,N/A,Other,43,,22,Overseas Specialty,http://www.lawhiskeysociety.com/whiskey-profile/3858/Draymans-Solera
